,Cooling Capacity##HVAC_COOLING_LOAD##BRITISH_THERMAL_UNITS_PER_HOUR,Heating Capacity##HVAC_HEATING_LOAD##BRITISH_THERMAL_UNITS_PER_HOUR,Width##LENGTH##INCHES,Length##LENGTH##INCHES,Height##LENGTH##INCHES,Voltage##ELECTRICAL_POTENTIAL##VOLTS,Minimum Circuit Amps##ELECTRICAL_CURRENT##AMPERES,Maximum Overcurrent Protection##ELECTRICAL_CURRENT##AMPERES,Power Factor##OTHER##,Number of Poles##OTHER##,Drain Diameter##PIPE_SIZE##INCHES,DX Liquid Diameter##PIPE_SIZE##INCHES,DX Gas Diameter##PIPE_SIZE##INCHES,Model##OTHER##,Type Comments##OTHER##,Description##OTHER##,Manufacturer##OTHER##,Unit Net Weight##MASS##POUNDS_MASS,URL##OTHER##
40MAQB09B--1 - 115 v,9000,9000,7.8,32.87,11.02,115,0.4,20,0.9,2,0.625,0.25,0.375,40MAQB09B--1,0.75 ton Cooling Capacity - 115 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,33,www.carrier.com
40MAQB12B--1 - 115 v,12000,12000,7.8,32.87,11.02,115,0.4,20,0.9,2,0.625,0.25,0.5,40MAQB12B--1,1 ton Cooling Capacity - 115 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,34,www.carrier.com
40MAQB09B--3 - 208 v,9000,9000,7.8,32.87,11.02,208,0.2,20,0.9,2,0.625,0.25,0.375,40MAQB09B--3,0.75 ton Cooling Capacity - 208 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,33,www.carrier.com
40MAQB12B--3 - 208 v,12000,12000,7.8,32.87,11.02,208,0.2,20,0.9,2,0.625,0.25,0.5,40MAQB12B--3,1 ton Cooling Capacity - 208 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,35,www.carrier.com
40MAQB18B--3 - 208 v,18000,18000,8.58,38.98,12.4,208,0.27,20,0.9,2,0.625,0.25,0.5,40MAQB18B--3,1.5 ton Cooling Capacity - 208 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,36,www.carrier.com
40MAQB24B--3 - 208 v,24000,24000,10.16,46.69,13.39,208,0.4,20,0.9,2,0.625,0.375,0.625,40MAQB24B--3,2 ton Cooling Capacity - 208 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,37,www.carrier.com
40MAQB30B--3 - 208 v,30000,30000,10.16,46.69,13.39,208,0.4,20,0.9,2,0.625,0.375,0.625,40MAQB30B--3,2.5 ton Cooling Capacity - 208 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,38,www.carrier.com
40MAQB36B--3 - 208 v,36000,36000,10.16,46.69,13.39,208,0.4,20,0.9,2,0.625,0.375,0.625,40MAQB36B--3,3 ton Cooling Capacity - 208 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,39,www.carrier.com
40MAQB09B--3 - 230 v,9000,9000,7.8,32.87,11.02,230,0.2,20,0.9,2,0.625,0.25,0.375,40MAQB09B--3,0.75 ton Cooling Capacity - 230 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,33,www.carrier.com
40MAQB12B--3 - 230 v,12000,12000,7.8,32.87,11.02,230,0.2,20,0.9,2,0.625,0.25,0.5,40MAQB12B--3,1 ton Cooling Capacity - 230 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,35,www.carrier.com
40MAQB18B--3 - 230 v,18000,18000,8.58,38.98,12.4,230,0.27,20,0.9,2,0.625,0.25,0.5,40MAQB18B--3,1.5 ton Cooling Capacity - 230 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,36,www.carrier.com
40MAQB24B--3 - 230 v,24000,24000,10.16,46.69,13.39,230,0.4,20,0.9,2,0.625,0.375,0.625,40MAQB24B--3,2 ton Cooling Capacity - 230 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,37,www.carrier.com
40MAQB30B--3 - 230 v,30000,30000,10.16,46.69,13.39,230,0.4,20,0.9,2,0.625,0.375,0.625,40MAQB30B--3,2.5 ton Cooling Capacity - 230 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,38,www.carrier.com
40MAQB36B--3 - 230 v,36000,36000,10.16,46.69,13.39,230,0.4,20,0.9,2,0.625,0.375,0.625,40MAQB36B--3,3 ton Cooling Capacity - 230 v,Heat Pump Indoor Unit High Wall Ductless System,Carrier Corporation,39,www.carrier.com
