,Cooling Capacity##HVAC_COOLING_LOAD##BRITISH_THERMAL_UNITS_PER_HOUR,Heating Capacity##HVAC_HEATING_LOAD##BRITISH_THERMAL_UNITS_PER_HOUR,Width##LENGTH##INCHES,Body Width##LENGTH##INCHES,Length##LENGTH##INCHES,Height##LENGTH##INCHES,Foot Center to Center##LENGTH##INCHES,Voltage##ELECTRICAL_POTENTIAL##VOLTS,Minimum Circuit Amps##ELECTRICAL_CURRENT##AMPERES,Maximum Overcurrent Protection##ELECTRICAL_CURRENT##AMPERES,Power Factor##OTHER##,Number of Poles##OTHER##,DX Liquid Diameter##PIPE_SIZE##INCHES,DX Gas Diameter##PIPE_SIZE##INCHES,DX Connection Y Offset##LENGTH##INCHES,DX Liquid Z Offset##LENGTH##INCHES,DX Gas Z Offset##LENGTH##INCHES,DX Shield Length##LENGTH##INCHES,Model##OTHER##,Type Comments##OTHER##,Description##OTHER##,Manufacturer##OTHER##,Unit Net Weight##MASS##POUNDS_MASS,URL##OTHER##,Fan Material##OTHER##
38MAQB09R--1 - 115 v,9000,11000,14.36,12.23,32.04,21.81,20.22,115,15,20,0.8,2,0.25,0.375,7.25,3.26,5.72,2.79,38MAQB09R--1,0.75 ton Cooling Capacity - 115 v,Heat Pump Outdoor Unit Single Phase,Carrier,82.9,www.carrier.com,Metal - Carrier - Fan 1
38MAQB12R--1 - 115 v,12000,12000,14.36,12.23,32.04,21.81,20.22,115,15,20,0.8,2,0.25,0.5,7.25,3.26,5.72,2.79,38MAQB12R--1,1 ton Cooling Capacity - 115 v,Heat Pump Outdoor Unit Single Phase,Carrier,82.9,www.carrier.com,Metal - Carrier - Fan 1
38MAQB09R--3 - 208 v,9000,11000,14.36,12.23,32.04,21.81,20.22,208,9,15,0.8,2,0.25,0.375,7.25,3.26,5.72,2.79,38MAQB09R--3,0.75 ton Cooling Capacity - 208 v,Heat Pump Outdoor Unit Single Phase,Carrier,91.5,www.carrier.com,Metal - Carrier - Fan 1
38MAQB12R--3 - 208 v,12000,12000,14.36,12.23,32.04,21.81,20.22,208,9,15,0.8,2,0.25,0.5,7.25,3.26,5.72,2.79,38MAQB12R--3,1 ton Cooling Capacity - 208 v,Heat Pump Outdoor Unit Single Phase,Carrier,91.5,www.carrier.com,Metal - Carrier - Fan 1
38MAQB18R--3 - 208 v,18000,18000,14.84,13.15,33.19,27.68,21.28,208,18,25,0.8,2,0.25,0.5,7.25,3.64,6.13,2.8,38MAQB18R--3,1.5 ton Cooling Capacity - 208 v,Heat Pump Outdoor Unit Single Phase,Carrier,118.2,www.carrier.com,Metal - Carrier - Fan 1
38MAQB24R--3 - 208 v,24000,24000,17.9,15.27,37.78,31.91,26.49,208,20,30,0.8,2,0.375,0.625,13.5,4.27,6.95,3.38,38MAQB24R--3,2 ton Cooling Capacity - 208 v,Heat Pump Outdoor Unit Single Phase,Carrier,145.5,www.carrier.com,Metal - Carrier - Fan 2
38MAQB30R--3 - 208 v,30000,30000,17.9,15.27,37.78,31.91,26.49,208,20,30,0.8,2,0.375,0.625,13.5,4.27,6.95,3.38,38MAQB30R--3,2.5 ton Cooling Capacity - 208 v,Heat Pump Outdoor Unit Single Phase,Carrier,139.8,www.carrier.com,Metal - Carrier - Fan 2
38MAQB36R--3 - 208 v,36000,36000,17.9,15.27,37.78,31.91,26.49,208,25,35,0.8,2,0.375,0.625,13.5,4.27,6.95,3.38,38MAQB36R--3,3 ton Cooling Capacity - 208 v,Heat Pump Outdoor Unit Single Phase,Carrier,147.3,www.carrier.com,Metal - Carrier - Fan 2
38MAQB09R--3 - 230 v,9000,11000,14.36,12.23,32.04,21.81,20.22,230,9,15,0.8,2,0.25,0.375,7.25,3.26,5.72,2.79,38MAQB09R--3,0.75 ton Cooling Capacity - 230 v,Heat Pump Outdoor Unit Single Phase,Carrier,91.5,www.carrier.com,Metal - Carrier - Fan 1
38MAQB12R--3 - 230 v,12000,12000,14.36,12.23,32.04,21.81,20.22,230,9,15,0.8,2,0.25,0.5,7.25,3.26,5.72,2.79,38MAQB12R--3,1 ton Cooling Capacity - 230 v,Heat Pump Outdoor Unit Single Phase,Carrier,91.5,www.carrier.com,Metal - Carrier - Fan 1
38MAQB18R--3 - 230 v,18000,18000,14.84,13.15,33.19,27.68,21.28,230,18,25,0.8,2,0.25,0.5,7.25,3.64,6.13,2.8,38MAQB18R--3,1.5 ton Cooling Capacity - 230 v,Heat Pump Outdoor Unit Single Phase,Carrier,118.2,www.carrier.com,Metal - Carrier - Fan 1
38MAQB24R--3 - 230 v,24000,24000,17.9,15.27,37.78,31.91,26.49,230,20,30,0.8,2,0.375,0.625,13.5,4.27,6.95,3.38,38MAQB24R--3,2 ton Cooling Capacity - 230 v,Heat Pump Outdoor Unit Single Phase,Carrier,145.5,www.carrier.com,Metal - Carrier - Fan 2
38MAQB30R--3 - 230 v,30000,30000,17.9,15.27,37.78,31.91,26.49,230,20,30,0.8,2,0.375,0.625,13.5,4.27,6.95,3.38,38MAQB30R--3,2.5 ton Cooling Capacity - 230 v,Heat Pump Outdoor Unit Single Phase,Carrier,139.8,www.carrier.com,Metal - Carrier - Fan 2
38MAQB36R--3 - 230 v,36000,36000,17.9,15.27,37.78,31.91,26.49,230,25,35,0.8,2,0.375,0.625,13.5,4.27,6.95,3.38,38MAQB36R--3,3 ton Cooling Capacity - 230 v,Heat Pump Outdoor Unit Single Phase,Carrier,147.3,www.carrier.com,Metal - Carrier - Fan 2
