"EQUIPMENT SCHEDULE (E) - PHO HUNG","","","","","","","",""
"ITEM","Count","DESCRIPTION(s)","MFG","MODEL","ELECTRICAL (FLAMPS / KW / V / PH /HZ)","WATER (HOT / COLD)","WASTE (DIRECT / INDIRECT)","TOTAL BTU","GAS SIZE","REMARKS"
"","","","","","","","","","",""
"01","1","ELEC. POS","-","-","120V / 1 / 60Hz","","","","","EXISTING"
"02","2","None","GSW","HS-1615S","","1/2"" HOT / 1/2"" COLD","DIRECT","","","EXISTING - DIRECT DRAINAGE"
"03","1","SINGLE GLASS DOOR REFRIGERATOR (W:27"" D:31-1/2"" H:81-1/4""), SUPPORTED BY 4"" HIGH CASTERS","BLUEAIR","BKGM23-HC","120V / 1 / 60Hz","","","","","EXISTING - SELF CONTAINED"
"05","1","TYPE I HOOD (12'W x 4'D)","CAPTIVEAIRE","4824ND-2","","","","","","EXISTING - TYPE I HOOD"
"06","1","CHINESE WOK RANGES (108"" x 42"" x 32""), 440,000 BTU. DRAIN TO A FLOOR SINK","ABC RESTAURANT EQUIPMENT","ABC-4","","COLD","INDIRECT","440,000","","EXISTING - DRAIN TO FLOOR SINK"
"07","1","GAS DEEP FRYER (15-3/8""W x 30-1/10""D x 44-2/5""H), SUPPORTED BY 6"" CASTERS","ATOSA","ATFS-50","","","","","","EXISTING - GAS"
"08","2","STAINLESS STEEL SPLASH GUARD FOR DEEP FRYER (20.5""W x 18""H)","ASSURE","190FG1820","","","","","","EXISTING"
"09","1","WALK IN COOLER. DRAIN TO A FLOOR SINK","KOLPAK","-","","","INDIRECT","","","EXISTING - DRAIN TO FLOOR SINK"
"10","1","None","GSW","HS-1615W","","1/2"" HOT / 1/2"" COLD","DIRECT","","","EXISTING - DIRECT DRAINAGE"
"11","1","LOCKER (15""W x 20""D x 77""H), SUPPORTED BY 6"" HIGH ROUND LEGS","GSW","EL-5DR","","","","","","EXISTING"
"12","2","REACH-IN 2 DOOR FREEZER (54.1""W x 30.7""D x 81.9""H), WITH 4"" CASTERS","COOLER DEPOT","KF-49B","120V / 1 / 60Hz","","","","","EXISTING - SELF CONTAINED"
"13","1","TYPE I HOOD (7'W x 4'D)","CAPTIVEAIRE","4824ND-2","","","","","","EXISTING - TYPE I HOOD"
"14","1","GAS STOCK POT STOVE, 2 BURNERS (18""W x 41.7""D x 22.8""H), WITH 4"" LEGS","ATOSA USA","ATSP-18-2","","","","","","EXISTING - GAS"
"15","1","4 BURNER GAS COUNTERTOP RANGE (24""W x 26-13/16""D x 15""H), WITH LEGS","COOKING PERFORMANCE GROUP","R-CPG-24-NL","","","","","","EXISTING - GAS"
"16","1","STAINLESS STEEL WORK TABLE (36""W x 30""D x 34""H), SUPPORTED BY 6"" HIGH ROUND LEGS","REGENCY","600TS3036S","","","","","","EXISTING"
"17","1","PREP. SINK W/ TABLE (SINK: 18""W x 24""D x 14""H, TABLE: 96""W x 30""D x 45""H). DRAIN TO A FLOOR SINK","ADVANCE TABCO","TKMS-308 / TA-11L","","1/2"" HOT / 1/2"" COLD","INDIRECT","","","EXISTING - DRAIN TO FLOOR SINK"
"18","1","3 COMP SINK W/ 2 24""x24"" DRAINBOARDS W/ SPLASH GUARD, SIZE: 103""W x 27""D x 45""H, 11-1/2""H BACKSPLASH. DRAIN TO A FLOOR SINK","ADVANCE TABCO","94-3-54-24RL","","1/2"" HOT / 1/2"" COLD","INDIRECT","","","EXISTING - DRAIN TO FLOOR SINK"
"19","1","ELEC. SELF CONTAINED CUBE ICE MAKER (24.54""W x 26.27""D x 33""H), SUPPORTED BY 6"" HIGH ROUND LEGS. DRAIN TO A FLOOR SINK","ICE-O-MATIC","ICEU220","120V / 1 / 60Hz","COLD","INDIRECT","","","EXISTING - DRAIN TO FLOOR SINK"
"20","1","WATER FILTER","PENTAIR","QC71 HEAD / 4FC-S.F.C","","COLD","","","","EXISTING"
"21","1","STORAGE SHELVING 4 TIER, 18"" DEEP 3'x1'-6"", 6"" ABOVE GROUND, 5' HEIGHT TOTAL (1 LOT)","REGENCY","460EC1836","","","","","","EXISTING"
"22","1","STORAGE SHELVING 4 TIER, 18"" DEEP 3'-6""x1'-6"", 6"" ABOVE GROUND, 5' HEIGHT TOTAL (1 LOT)","REGENCY","460EC1860","","","","","","EXISTING"
"23","4","STORAGE SHELVING 4 TIER, 18"" DEEP 4'x1'-6"", 6"" ABOVE GROUND, 5' HEIGHT TOTAL (4 LOT)","REGENCY","460EC1848","","","","","","EXISTING"
"24","1","None","GSW","SE2424FM","","1/2"" HOT / 1/2"" COLD","DIRECT","","","EXISTING - DIRECT DRAINAGE"
"25","1","SS MOP SINK UTILITY SHELF (24""W x 8""D) WITH MOP/BROOM HOLDERS & RAG HOOKS","REGENCY","600WSU824","","","","","","EXISTING"
"26","1","GAS TANK WATER HEATER, 81 GAL, 154,000 BTU. INDIRECT DRAIN TO FLOOR SINK","AO SMITH","BTR-154","","COLD IN / HOT OUT","INDIRECT","154,000","","EXISTING - INDIRECT DRAIN TO FLOOR SINK"
"27","1","CUSTOM STAINLESS STEEL LEFT/RIGHT SPLASH (30""W x 18""H)","CUSTOM","CUSTOM","","","","","","EXISTING"
"28","1","AIR CURTAIN W/ MICRO SWITCH (WALL-MOUNT)","MARS","TRE","120V / 1 / 60Hz","","","","","EXISTING"
